hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457626.80541,ba,V,12.008,0.02,66.638,1.226
2458021.82854,bc,V,12.045,0.02,58.326,1.073
2458021.81693,ba,V,12.016,0.02,66.206,1.218
2457693.71469,bc,V,12.043,0.02,58.451,1.076
2457550.86432,bc,V,11.982,0.02,61.829,1.138
2457488.05855,bc,V,11.964,0.02,62.836,1.156
2457195.03015,bc,V,12.013,0.02,60.093,1.106
2457167.91804,bc,V,11.939,0.02,64.295,1.183
2456906.83989,bc,V,12.045,0.02,58.349,1.074
2456902.84281,ba,V,12.051,0.02,64.062,1.179
2458018.83838,bc,V,12.016,0.02,59.895,1.102
2458009.86749,bc,V,12.03,0.02,59.118,1.088
2457831.11704,bc,V,12.022,0.02,59.58,1.096
2457702.68887,bc,V,12.013,0.02,60.064,1.105
2457318.71866,bc,V,11.975,0.02,62.2,1.144
2456857.03417,ba,V,12.05,0.02,64.137,1.18
2458277.92342,ba,V,11.981,0.02,68.345,1.258
2457962.00502,ba,V,12.039,0.02,64.816,1.193
2457860.09855,ba,V,12.034,0.02,65.085,1.198
2457661.75475,ba,V,12.017,0.02,66.121,1.217
2457608.95795,ba,V,12.023,0.02,65.771,1.21
2457296.80219,ba,V,12.058,0.02,63.664,1.171
2458428.69923,bc,V,12.038,0.02,58.703,1.08
2458315.84388,ba,V,11.949,0.02,70.399,1.295
2457989.92252,bc,V,11.944,0.02,64.033,1.178
2457971.79432,ba,V,12.0,0.02,67.145,1.235
2457547.97351,ba,V,11.973,0.02,68.835,1.267
2457483.06475,bc,V,12.012,0.02,60.159,1.107
2457309.74263,ba,V,12.063,0.02,63.375,1.166
2457114.08895,bc,V,11.961,0.02,63.035,1.16
2456889.86218,bc,V,12.081,0.02,56.434,1.038
2457230.90531,ba,V,12.061,0.02,63.468,1.168
2457211.05212,ba,V,12.031,0.02,65.248,1.201
2456863.91195,ba,V,12.01,0.02,66.524,1.224
2456751.05272,ba,V,11.934,0.02,71.357,1.313
2457939.92593,bc,V,12.093,0.02,55.814,1.027
2457445.15701,ba,V,12.032,0.02,65.224,1.2
2457201.81898,bc,V,11.958,0.02,63.188,1.163
2456827.96057,bc,V,11.919,0.02,65.488,1.205
2457936.86096,bc,V,12.065,0.02,57.288,1.054
2457621.86,bc,V,11.995,0.02,61.101,1.124
2457314.73312,bc,V,12.045,0.02,58.329,1.073
2457237.98519,ba,V,12.004,0.02,66.936,1.232
2457235.9867,bc,V,12.002,0.02,60.703,1.117
2457227.95076,ba,V,12.069,0.02,63.015,1.159
2457184.94873,bc,V,11.958,0.02,63.202,1.163
2458326.90696,ba,V,12.08,0.02,62.407,1.148
2457880.97324,ba,V,11.991,0.02,67.722,1.246
2457686.73671,ba,V,12.02,0.02,65.964,1.214
2457671.7487,ba,V,12.002,0.02,67.032,1.233
2457503.05181,bc,V,12.005,0.02,60.534,1.114
2456897.85203,bc,V,12.031,0.02,59.072,1.087
2457880.96182,bc,V,11.997,0.02,60.977,1.122
2457233.9036,ba,V,12.058,0.02,63.693,1.172
2457098.10385,bc,V,12.025,0.02,59.401,1.093
2456931.781,bc,V,11.992,0.02,61.232,1.127
2456731.08651,ba,V,12.011,0.02,66.454,1.223
2457613.95563,ba,V,12.048,0.02,64.247,1.182
2457463.10493,bc,V,11.986,0.02,61.592,1.133
2456971.69345,bc,V,11.989,0.02,61.427,1.13
2458408.73376,bc,V,12.024,0.02,59.486,1.095
2457996.79353,bc,V,12.047,0.02,58.239,1.072
2457083.14343,ba,V,11.955,0.02,70.03,1.289
2456922.82502,ba,V,12.07,0.02,62.977,1.159
2458257.02815,ba,V,12.065,0.02,63.281,1.164
2458379.79903,ba,V,12.016,0.02,66.182,1.218
2457880.09421,bc,V,12.006,0.02,60.463,1.113
2457827.12003,ba,V,12.01,0.02,66.527,1.224
2457603.91773,ba,V,12.004,0.02,66.91,1.231
2456866.91675,ba,V,11.994,0.02,67.529,1.243
